datetimeUtc,PM2.5,TEMP,DEWP
2025-07-25 11:00:00+00:00,26.997651533647016,32.82803032614968,19.019893888993693
2025-07-25 12:00:00+00:00,23.385416746139526,33.04729127883911,18.845249557495116
2025-07-25 13:00:00+00:00,27.039208451906838,29.991812308629356,16.504845587412518
2025-07-25 14:00:00+00:00,30.693000157674152,26.9363333384196,14.16444161732992
2025-07-25 15:00:00+00:00,23.90437889099121,26.50089385292747,13.723593729192562
2025-07-25 16:00:00+00:00,29.47738854090373,24.66262515385945,12.631491756439205
2025-07-25 17:00:00+00:00,40.41966692606608,23.17845869064331,11.822792021433512
2025-07-25 18:00:00+00:00,35.89798545837402,22.36033360163371,11.373544724782311
2025-07-25 19:00:00+00:00,39.24095853169759,21.10241635640462,10.982574717203775
2025-07-25 20:00:00+00:00,42.14691607157389,20.372875054677326,10.745800113677978
2025-07-25 21:00:00+00:00,33.04133319854736,20.13616720835368,10.35875047047933
2025-07-25 22:00:00+00:00,32.758458296457924,18.983583132425945,9.567049853007
2025-07-25 23:00:00+00:00,38.77979119618734,17.70883305867513,8.84174969991048
2025-07-26 00:00:00+00:00,41.5289166768392,17.30358346303304,8.673166847229004
2025-07-26 01:00:00+00:00,40.74762535095215,17.58887529373169,8.894358603159587
2025-07-26 02:00:00+00:00,41.42304102579752,17.070333162943523,8.546499824523927
2025-07-26 03:00:00+00:00,39.84204165140788,16.545416831970215,8.042966842651367
2025-07-26 04:00:00+00:00,45.67287508646647,15.939958492914837,7.542800188064575
2025-07-26 05:00:00+00:00,57.65758355458578,16.67420832316081,8.251200103759766
2025-07-26 06:00:00+00:00,44.1454168955485,19.596875190734863,10.298425292968751
2025-07-26 07:00:00+00:00,39.25591643651327,23.468541622161865,12.446466477711995
2025-07-26 08:00:00+00:00,29.766041437784832,26.95229148864746,13.819166501363117
2025-07-26 09:00:00+00:00,30.83637523651123,28.90983311335246,15.1673747698466
2025-07-26 10:00:00+00:00,28.547916730244957,30.70441706975301,16.64334208170573
2025-07-26 11:00:00+00:00,23.21358331044515,32.23287502924601,17.64325002034505
2025-07-26 12:00:00+00:00,19.994250297546387,32.77708307902018,17.73297472000122
2025-07-26 13:00:00+00:00,19.002944628397625,33.39647229512533,18.24548625946045
2025-07-26 14:00:00+00:00,26.58045864105225,31.38516632715861,16.581416320800784
2025-07-26 15:00:00+00:00,37.386597633361816,27.884833335876465,13.851669438680014
2025-07-26 16:00:00+00:00,36.3710831006368,25.14840269088745,13.060449886322022
2025-07-26 17:00:00+00:00,45.15470822652181,22.693166573842365,11.922841676076253
2025-07-26 18:00:00+00:00,56.45316664377848,21.598666508992512,11.545841534932453
2025-07-26 19:00:00+00:00,57.404083569844566,20.54865264892578,10.93719425201416
2025-07-26 20:00:00+00:00,55.845181147257485,19.871041615804035,10.311322085062661
2025-07-26 21:00:00+00:00,61.9123748143514,19.22862482070923,9.571283117930095
2025-07-26 22:00:00+00:00,61.56012407938639,18.23270829518636,8.798749923706055
2025-07-26 23:00:00+00:00,40.10229174296061,17.419250011444092,8.294172255198161
2025-07-27 00:00:00+00:00,32.78129132588705,16.555916786193848,7.671316846211752
2025-07-27 01:00:00+00:00,35.977333068847656,15.89316670099894,7.270716635386147
2025-07-27 02:00:00+00:00,36.25891653696696,15.396791776021322,6.962816747029622
2025-07-27 03:00:00+00:00,39.81833362579346,15.052500009536743,6.633141756057739
2025-07-27 04:00:00+00:00,44.1501661936442,14.749833424886068,6.2712417602539094
2025-07-27 05:00:00+00:00,45.80762481689453,15.619041681289673,7.303733301162719
2025-07-27 06:00:00+00:00,40.15908400217692,17.15779145558675,8.741233126322427
2025-07-27 07:00:00+00:00,42.37916692097982,18.372250080108643,9.366491667429607
2025-07-27 08:00:00+00:00,46.57354164123535,20.09279171625773,10.314591693878171
2025-07-27 09:00:00+00:00,48.87266635894776,23.456124782562256,12.369722016652426
2025-07-27 10:00:00+00:00,42.09683354695638,25.985333283742268,13.937674935658771
2025-07-27 11:00:00+00:00,32.51499970753988,28.432874997456867,15.561458333333333
2025-07-27 12:00:00+00:00,19.788041750590008,30.804999510447185,17.11664956410726
2025-07-27 13:00:00+00:00,16.288597186406452,31.615972359975174,17.52442789077758
2025-07-27 14:00:00+00:00,17.5410418510437,31.30941645304362,17.171791458129885
2025-07-27 15:00:00+00:00,21.77708339691162,28.03545840581258,14.593783378601074
2025-07-27 16:00:00+00:00,58.78637409210205,24.284375031789143,12.06901667912801
2025-07-27 17:00:00+00:00,93.0813331604004,21.24570830663045,10.377749919891357
2025-07-27 18:00:00+00:00,100.9049997329712,20.636791388193767,10.61912463506063
2025-07-27 19:00:00+00:00,56.31904157002767,19.83783324559529,10.376899941762284
2025-07-27 20:00:00+00:00,41.6812915802002,19.91379149754842,10.172108300526936
2025-07-27 21:00:00+00:00,41.55729166666666,19.201375007629395,9.456925010681152
2025-07-27 22:00:00+00:00,41.4774169921875,17.88766686121623,8.689958540598553
2025-07-27 23:00:00+00:00,39.10006904602051,17.054458300272625,8.025311024983726
2025-07-28 00:00:00+00:00,38.59783331553141,16.10058331489563,7.307449897130329
2025-07-28 01:00:00+00:00,41.80787467956543,15.686999956766764,6.9858498255411785
2025-07-28 02:00:00+00:00,38.39729181925456,15.20199998219808,6.590950139363608
2025-07-28 03:00:00+00:00,44.25883324941,15.009041706720987,6.376225074132284
2025-07-28 04:00:00+00:00,70.91216723124187,14.8149999777476,6.352283366521199
2025-07-28 05:00:00+00:00,57.31579176584879,16.599291721979778,7.966441710790001
2025-07-28 06:00:00+00:00,43.18649991353353,19.056958039601643,9.512616316477455
2025-07-28 07:00:00+00:00,37.78237469991048,22.262625217437744,11.275850200653077
2025-07-28 08:00:00+00:00,36.12254142761231,23.4463750521342,12.052208423614506
2025-07-28 09:00:00+00:00,26.555541515350345,26.126333236694336,13.735816637674969
2025-07-28 10:00:00+00:00,28.5471248626709,28.7352081934611,15.536608187357587
2025-07-28 11:00:00+00:00,33.00812482833862,30.47504170735677,16.77137508392334
2025-07-28 12:00:00+00:00,32.783541679382324,31.64120817184448,17.585799789428705
2025-07-28 13:00:00+00:00,29.61087481180827,32.57266712188721,18.199925454457603
2025-07-28 14:00:00+00:00,32.43204196294149,31.361167112986248,17.104250462849933
2025-07-28 15:00:00+00:00,30.055624961853027,28.96220842997233,15.283491834004717
2025-07-28 16:00:00+00:00,40.62570842107137,25.041625181833904,13.025242010752361
2025-07-28 17:00:00+00:00,43.55041694641113,22.317583084106445,11.910699780782064
2025-07-28 18:00:00+00:00,44.46041711171468,21.819541613260903,11.413916587829586
2025-07-28 19:00:00+00:00,39.67308330535889,20.8800417582194,10.322350056966144
2025-07-28 20:00:00+00:00,45.45416673024496,19.987250328063965,9.900216929117839
2025-07-28 21:00:00+00:00,42.60083325703939,19.762291590372723,9.819333267211915
2025-07-28 22:00:00+00:00,34.00966660181681,18.937083562215168,9.093583488464354
2025-07-28 23:00:00+00:00,29.274083455403645,18.89870802561442,9.348074849446617
2025-07-29 00:00:00+00:00,26.42599995930989,18.82641649246216,9.63898324966431
2025-07-29 01:00:00+00:00,26.72112480799357,18.94208304087321,9.738157971700033
2025-07-29 02:00:00+00:00,24.88279183705648,18.632084051767983,9.583484172821041
2025-07-29 03:00:00+00:00,25.040416876475017,18.583250363667805,9.565950266520181
2025-07-29 04:00:00+00:00,28.15691677729289,18.501499970753983,9.482058302561438
2025-07-29 05:00:00+00:00,31.53879149754842,18.64733346303304,9.56849168141683
2025-07-29 06:00:00+00:00,34.91508324941,19.22237475713094,9.948683134714763
